ItemNum,ItemName,Cost,Price,Retail_Price,Tax_1,AltSku,Dept_ID,ItemName_Extra,Count_This_Item,Print_On_Receipt,AllowReturns
016697000230,DELOACH P.NOIR 750ML,21.11000000,26.99000000,0.00000000,True,016697006669,WINE,.,,True,True
1A,BUDWEISER 12OZ SINGLE NR,0.81000000,1.09000000,0.00000000,True,01816820,WINE,.,False,True,True
040063400027,FOUR ROSES SNGL BRL 750ML,33.60000000,42.99000000,0.00000000,True,040232100222,VODKA,.,False,True,True
048415520058,PIKE CREEK CANADIAN 750ML,22.40000000,29.99000000,0.00000000,True,048415520621,WHISKY,.,False,True,True
050037094459,DISARONNO GIFT SET 750ML,21.59000000,28.99000000,0.00000000,True,050037075373,11,.,False,True,True
793573864000,J R EWING 750ML,25.59000000,34.99000000,0.00000000,True,079753001909,BOURBON,.,False,True,True
080480345402,BACARDI 1873 SOLERA 750ML,17.00000000,21.99000000,0.00000000,True,080480001162,RUM,.,False,True,True
898804001008,ST GERMAIN LIQUEUR 750ML,29.80000000,38.99000000,0.00000000,True,080480004699,11,.,False,True,True
080686835028,SAUZA HORNITOS REPOSADO 750ML,16.40000000,20.99000000,0.00000000,True,080686835752,TEQUILA,.,False,True,True
081128010621,EARLY TIMES 750ML,10.40000000,13.99000000,0.00000000,True,081128010867,BOURBON,.,False,True,True
088110554057,DOM PERIGNON VINTAGE 750ML,147.00000000,199.99000000,0.00000000,True,081753822422,14,2003,False,True,True
08249801,BLADE AND BOW 750ML,37.59000000,49.99000000,0.00000000,True,08249908,BOURBON,.,False,True,True
080480302023,DRAMBUIE 80 750ML,29.00000000,38.99000000,0.00000000,True,083664873623,11,.,False,True,True
087236002114,REMY MARTIN 1738 AR 750ML,43.20000000,57.99000000,0.00000000,True,087236003135,12,.,False,True,True
081932678222,TORTILLA GOLD TEQ. 1.75L,10.99000000,14.99000000,0.00000000,True,088004015060,TEQUILA,.,False,True,True
080432105559,FRIS VODKA 750ML,7.99000000,9.99000000,0.00000000,True,088004026127,VODKA,.,False,True,True
080432105535,FRIS VODKA 1.75L,12.51000000,15.99000000,0.00000000,True,088004026141,VODKA,.,False,True,True
088110110604,TANQUERAY GIN 375ML,11.15000000,14.99000000,0.00000000,True,088110110642,GIN,.,False,True,True
088352129440,WOLFSCHMIDT VODKA 1.75L,12.33000000,15.99000000,0.00000000,True,088352128801,VODKA,.,False,True,False
1234567,OLD VAN WINKLE 10YR 750ML,0.00000000,249.99000000,0.00000000,True,089319123679,BOURBON,.,False,True,True
01232038,SALEM BOX,4.59000000,5.59000000,0.00000000,True,09059037,CIGERATT,.,False,True,True
642860200222,FOUNDERS BREAKFAST STOUT 4PK,7.67000000,9.99000000,0.00000000,True,642860200529,BEER,RUBEAUS,False,True,True
088110931049,GRAND MARNIER 375ML,15.88000000,24.99000000,0.00000000,True,649188900469,11,.,False,True,True
4005686001118,HOFBRAU ORIGINAL 6PK,7.74000000,9.99000000,0.00000000,True,675747001117,BEER,.,False,True,True
8161L,CIGAR CUTTER SINGLE BLADE,0.39000000,1.99000000,0.00000000,True,751667203272,NOVELTY,.,False,True,True
7594003620394,DIPLOMATICO 750ML,29.60000000,37.99000000,0.00000000,True,7594003626341,RUM,RES EXCLU,False,True,True
082000745624,JOSE CUERVO AUTH MANGO 1.75L,13.14000000,15.99000000,0.00000000,True,811538011013,RTDS,.,False,True,True
082000758723,JOSE AUTH TANG GRAPE 1.75L,13.14000000,15.99000000,0.00000000,True,811538011068,RTDS,.,False,True,True
082000166030,JOSE CUERVO STRAW MIX 1L,3.45000000,4.99000000,0.00000000,True,811538011204,MIXERS,.,False,True,True
082000755111,JOSE CUERVO MARG ZERO 1L,3.22000000,4.99000000,0.00000000,True,811538011242,MIXERS,.,False,True,True
083664872718,STOLI SALTED KARAMEL 750ML,14.39000000,19.99000000,0.00000000,True,811751020274,VODKA,.,False,True,True
869315000040,WILD GINGER 6PKCAN,7.87000000,9.99000000,0.00000000,True,852684007116,BEER,.,False,True,True
856282005185,WIDOW JANE 750ML,63.84000000,79.99000000,0.00000000,True,856282005314,BOURBON,.,False,True,True
652341401024,CASAMIGOS REPOSADO 750ML,39.99000000,39.99000000,0.00000000,True,856724006213,TEQUILA,.,False,True,True
030955645063,YELLOW ROSE OUTLAW 750ML,12.79000000,21.99000000,0.00000000,True,857186006025,BOURBON,.,False,True,True
899919004014,IVANABITCH LEMON 750ML,8.79000000,7.99000000,0.00000000,True,899919000467,VODKA,.,False,True,True
000000054301,7,6.49000000,8.49000000,0.00000000,True,000000054301,BOURBON,.,False,True,True
000000100517,187ML LINDEMANS BIN 65 CHARD,0.00000000,0.00000000,0.00000000,False,000000100517,NONE,.,False,True,True
000000621009,500ML VEND SAUV BLANC TETRA,0.00000000,0.00000000,0.00000000,False,000000621009,NONE,.,False,True,True
000000659638,750ML MALIBU RUM MANGO 42 NL,0.00000000,0.00000000,0.00000000,False,000000659638,NONE,.,False,True,True
000000701804,750ML PELLEGRINO DRY,0.00000000,0.00000000,0.00000000,False,000000701804,NONE,.,False,True,True
000000723116,12 Z MOOSEHEAD BEER NO-RET 6PK,0.00000000,0.00000000,0.00000000,False,000000723116,NONE,.,False,True,True
000000783380,10 Z SCH BITTER LEMON 4x6PK,0.00000000,0.00000000,0.00000000,False,000000783380,NONE,.,False,True,True
000000783570,10 Z SCHWEPPES TONIC 4X6PK,0.00000000,0.00000000,0.00000000,False,000000783570,NONE,.,False,True,True
000000783610,10 Z SCHWEPPES CLUB SODA 4X6PK,0.00000000,0.00000000,0.00000000,False,000000783610,NONE,.,False,True,True
000000783620,10 Z SCHWEPPES DIET TONIC 4X6P,0.00000000,0.00000000,0.00000000,False,000000783620,NONE,.,False,True,True
000000804874,50ML BACARDI RUM SEL 80 50X10,0.00000000,0.00000000,0.00000000,False,000000804874,NONE,.,False,True,True
000000804884,50ML BOMBAY SAPP GIN 94 050X10,0.00000000,0.00000000,0.00000000,False,000000804884,NONE,.,False,True,True
000000813925,750ML J ROGET SPUMANTE,0.00000000,0.00000000,0.00000000,False,000000813925,NONE,.,False,True,True
000000820631,375ML WILD IRISH ROSE WILD GRA,0.00000000,0.00000000,0.00000000,False,000000820631,NONE,.,False,True,True
000000820641,750ML WILD IRISH ROSE WILD GRA,0.00000000,0.00000000,0.00000000,False,000000820641,NONE,.,False,True,True
000000820961,750ML J ROGET BRUT,0.00000000,0.00000000,0.00000000,False,000000820961,NONE,.,False,True,True
000000821131,1.5L J ROGET BRUT,0.00000000,0.00000000,0.00000000,False,000000821131,NONE,.,False,True,True
000000821535,CORSENDONK BROWN 12/750,0.00000000,0.00000000,0.00000000,False,000000821535,NONE,.,False,True,True
000000821538,CORSENDONK PALE ALE 12/750,0.00000000,0.00000000,0.00000000,False,000000821538,NONE,.,False,True,True
000000823061,750ML WILD IRISH ROSE 18 W FRT,0.00000000,0.00000000,0.00000000,False,000000823061,NONE,.,False,True,True
000000823071,375ML WILD IRISH ROSE 18 W FRT,0.00000000,0.00000000,0.00000000,False,000000823071,NONE,.,False,True,True
000000824631,1.0L WILD IRISH ROSE RED 18,0.00000000,0.00000000,0.00000000,False,000000824631,NONE,.,False,True,True
000000827991,1.0L WILD IRISH ROSE WHITE,0.00000000,0.00000000,0.00000000,False,000000827991,NONE,.,False,True,True
000000828001,750ML WILD IRISH ROSE RED 18,0.00000000,0.00000000,0.00000000,False,000000828001,NONE,.,False,True,True
000000828531,375ML WILD IRISH ROSE RED 18,0.00000000,0.00000000,0.00000000,False,000000828531,NONE,.,False,True,True
000000828561,750ML WILD IRISH ROSE WHITE,0.00000000,0.00000000,0.00000000,False,000000828561,NONE,.,False,True,True
000000828601,187ML WILD IRISH ROSE WHT 18 4,0.00000000,0.00000000,0.00000000,False,000000828601,NONE,.,False,True,True
000000828651,500ML WILD IRISH ROSE RED 18,0.00000000,0.00000000,0.00000000,False,000000828651,NONE,.,False,True,True
000000828661,500ML WILD IRISH ROSE WHITE,0.00000000,0.00000000,0.00000000,False,000000828661,NONE,.,False,True,True
000000828821,187ML WILD IRISH ROSE RED 18 4,0.00000000,0.00000000,0.00000000,False,000000828821,NONE,.,False,True,True
000000829091,1.5L WILD IRISH ROSE WHITE,0.00000000,0.00000000,0.00000000,False,000000829091,NONE,.,False,True,True
000000829611,375ML WILD IRISH ROSE GRN APPL,0.00000000,0.00000000,0.00000000,False,000000829611,NONE,.,False,True,True
000000829631,750ML WILD IRISH ROSE GRN APPL,0.00000000,0.00000000,0.00000000,False,000000829631,NONE,.,False,True,True
000000829881,1.5L J ROGET EXTRA DRY,0.00000000,0.00000000,0.00000000,False,000000829881,NONE,.,False,True,True
000000850052,187ML SUTTER HOME CAB SAUV 24B,0.00000000,0.00000000,0.00000000,False,000000850052,NONE,.,False,True,True
000000850072,187ML SUTTER HOME SAUV BLANC,0.00000000,0.00000000,0.00000000,False,000000850072,NONE,.,False,True,True
000000850092,187ML SUTTER HOME WHT ZINF 24B,0.00000000,0.00000000,0.00000000,False,000000850092,NONE,.,False,True,True
000000850102,187ML SUTTER HOME WH MERL 24BT,0.00000000,0.00000000,0.00000000,False,000000850102,NONE,.,False,True,True
000000850152,187ML SUTTER HOME WHT CAB 24B,0.00000000,0.00000000,0.00000000,False,000000850152,NONE,.,False,True,True
000000850162,187ML SUTTER HOME MUSCATO 24B,0.00000000,0.00000000,0.00000000,False,000000850162,NONE,.,False,True,True
000000850202,750ML SUTTER HOME MUSCATO,0.00000000,0.00000000,0.00000000,False,000000850202,NONE,.,False,True,True
000000850212,750ML SUTTER HOME ZINFANDEL,0.00000000,0.00000000,0.00000000,False,000000850212,NONE,.,False,True,True
000000850222,750ML SUTTER HOME GEWURZTRAMIN,0.00000000,0.00000000,0.00000000,False,000000850222,NONE,.,False,True,True
000000850242,750ML SUTTER HOME MERLOT,0.00000000,0.00000000,0.00000000,False,000000850242,NONE,.,False,True,True
000000850252,750ML SUTTER HOME CAB SAUV,0.00000000,0.00000000,0.00000000,False,000000850252,NONE,.,False,True,True
000000850292,750ML SUTTER HOME WHT ZINF,0.00000000,0.00000000,0.00000000,False,000000850292,NONE,.,False,True,True
000000850402,750ML SUTTER HOME WHT MERLOT,0.00000000,0.00000000,0.00000000,False,000000850402,NONE,.,False,True,True
000000850422,750ML SUTTER HOME PINOT NOIR,0.00000000,0.00000000,0.00000000,False,000000850422,NONE,.,False,True,True
000000850502,750ML SUTTER HOME SYRAH/SHIRAZ,0.00000000,0.00000000,0.00000000,False,000000850502,NONE,.,False,True,True
000000850512,1.5L SUTTER HOME ZINFANDEL,0.00000000,0.00000000,0.00000000,False,000000850512,NONE,.,False,True,True
000000850532,1.5L SUTTER HOME CHENIN BLANC,0.00000000,0.00000000,0.00000000,False,000000850532,NONE,.,False,True,True
000000850542,1.5L SUTTER HOME MERLOT,0.00000000,0.00000000,0.00000000,False,000000850542,NONE,.,False,True,True
000000850552,1.5L SUTTER HOME CAB SAUV,0.00000000,0.00000000,0.00000000,False,000000850552,NONE,.,False,True,True
000000850562,1.5L SUTTER HOME CHARDONNAY,0.00000000,0.00000000,0.00000000,False,000000850562,NONE,.,False,True,True
000000850572,1.5L SUTTER HOME SAUV BLANC,0.00000000,0.00000000,0.00000000,False,000000850572,NONE,.,False,True,True
000000850622,1.5L SUTTER HOME MUSCATO,0.00000000,0.00000000,0.00000000,False,000000850622,NONE,.,False,True,True
000000850632,1.5L SUTTER HOME WHT MERLOT,0.00000000,0.00000000,0.00000000,False,000000850632,NONE,.,False,True,True
000000850682,1.5L SUTTER HOME PINOT GRIG,0.00000000,0.00000000,0.00000000,False,000000850682,NONE,.,False,True,True
000000850712,1.5L SUTTER HOME WHT CAB SAUV,0.00000000,0.00000000,0.00000000,False,000000850712,NONE,.,False,True,True
000000850722,750ML SUTTER HOME WHT CAB SAUV,0.00000000,0.00000000,0.00000000,False,000000850722,NONE,.,False,True,True
000000851002,750ML SUTTER HOME FRE WHT ZINF,0.00000000,0.00000000,0.00000000,False,000000851002,NONE,.,False,True,True
000000851012,750ML SUTTER HOME FRE CHARD,0.00000000,0.00000000,0.00000000,False,000000851012,NONE,.,False,True,True
000000851042,750ML SUTTER HOME FRE PREM RED,0.00000000,0.00000000,0.00000000,False,000000851042,NONE,.,False,True,True
000000851062,750ML SUTTER HOME FRE PREM WHT,0.00000000,0.00000000,0.00000000,False,000000851062,NONE,.,False,True,True
000000851072,750ML SUTTER HOME FRE SPUMANTE,0.00000000,0.00000000,0.00000000,False,000000851072,NONE,.,False,True,True
000000851082,750ML SUTTER HOME FRE MERLOT,0.00000000,0.00000000,0.00000000,False,000000851082,NONE,.,False,True,True
000000852252,750ML TRINCHERO FAM CAB SAUV,0.00000000,0.00000000,0.00000000,False,000000852252,NONE,.,False,True,True
000000852262,750ML TRINCHERO FAM CHAR,0.00000000,0.00000000,0.00000000,False,000000852262,NONE,.,False,True,True
000000852272,750ML TRINCHERO FAM MERLOT,0.00000000,0.00000000,0.00000000,False,000000852272,NONE,.,False,True,True
000000872171,375ML WILD IRISH ROSE WHITE,0.00000000,0.00000000,0.00000000,False,000000872171,NONE,.,False,True,True
000000873470,375ML SEAG G&J HUNCH PUNCH 40,0.00000000,0.00000000,0.00000000,False,000000873470,NONE,.,False,True,True
000000876190,50ML GLENLIVET FRENCH 80 50X12,0.00000000,0.00000000,0.00000000,False,000000876190,NONE,.,False,True,True
000000883234,750ML RAYNAL BR VSOP 80 6GF6RE,0.00000000,0.00000000,0.00000000,False,000000883234,NONE,.,False,True,True
000000883264,1.75L RAYNAL BR VSOP 80,0.00000000,0.00000000,0.00000000,False,000000883264,NONE,.,False,True,True
000000883284,375ML RAYNAL BR VSOP 80 12B,0.00000000,0.00000000,0.00000000,False,000000883284,NONE,.,False,True,True
000002077681,750ML WILD TURKEY RYE 101,0.00000000,0.00000000,0.00000000,False,000002077681,NONE,.,False,True,True
000002077697,200ML SEAG XDRY GIN 80,0.00000000,0.00000000,0.00000000,False,000002077697,NONE,.,False,True,True
000002094206,1.75L SEAG XDRY GIN 80,0.00000000,0.00000000,0.00000000,False,000002094206,NONE,.,False,True,True
000004106432,BLACKBURN CAB SAUV 750ML,9.99000000,12.99000000,0.00000000,True,000004106432,WINE,.,False,True,True
000004106449,BLACKBURN CHARD 750ML,9.99000000,12.99000000,0.00000000,True,000004106449,WINE,.,False,True,True
000004112938,PROULX PETITE SIRAH 750ML,11.53000000,14.99000000,0.00000000,True,000004112938,WINE,BLACKBURN,False,True,True
000004153009,BLACKBURN ZINFANDEL 750ML,9.99000000,12.99000000,0.00000000,True,000004153009,WINE,.,False,True,True
000008139285,750ML J ROGET PINK,0.00000000,0.00000000,0.00000000,False,000008139285,NONE,.,False,True,True
